outcome,family,contrast,scoring,unadj_estimate,unadj_se,unadj_df,unadj_t,unadj_p,unadj_ci_lo,unadj_ci_hi,unadj_d,adj_estimate,adj_se,adj_df,adj_t,adj_p,adj_ci_lo,adj_ci_hi,adj_d,unadj_F,unadj_num_df,unadj_den_df,adj_F,adj_num_df,adj_den_df
BS_T,Behavioural sample,Omnibus Group x Time (2 df),,,,,,0.6526727014326255,,,,,,,,0.6402475199926319,,,,0.42911724496461434,2.0,74.96601740402856,0.44856069534019527,2.0,75.03650841854127
JAST_arja,JAST,Group difference at T1,higher = better,-0.11349206349206575,0.2305189097607148,66.64916651216845,-0.4923329873886431,0.624101870985293,-0.5736542583147726,0.3466701313306411,-0.1253379647188126,-0.10779881639847,0.2249891491021082,66.62579451300181,-0.47912895723494203,0.6334157668262398,-0.5569254062649454,0.34132777346800536,-0.11905047657738432,,,,,,
JAST_arja,JAST,Group difference at T2,higher = better,0.5725412972813864,0.23541842744189528,70.4694616607414,2.4320156391440424,0.017558535120043132,0.10306903513333543,1.0420135594294373,0.6323011381649116,0.5816125916893209,0.23002305417297467,70.56260753487173,2.528496953405179,0.01369412387753253,0.12291037540245703,1.0403148079761848,0.6423192622827725,,,,,,
JAST_arja,JAST,Group difference at T3,higher = better,0.5985919177874157,0.23221773082466,67.98303155094236,2.5777184010095806,0.012117887665880133,0.13520655634798623,1.0619772792268452,0.6610708305418252,0.6071162207582508,0.22673516519915438,68.00020531319281,2.677644732456856,0.00928633063876808,0.1546732676759271,1.0595591738405745,0.6704848701859779,,,,,,
JAST_arja,JAST,Treatment difference in change T1->T2,higher = better,0.6860333607734521,0.211347437201861,74.48544683873001,3.245998010935007,0.0017549699218101695,0.264959998074131,1.1071067234727732,0.7576391028837242,0.6894114080877909,0.21150459439371358,74.28001225535762,3.2595575999850803,0.0016850173361481373,0.2680056996922318,1.11081711648335,0.7613697388601568,,,,,,
JAST_arja,JAST,Treatment difference in change T1->T3,higher = better,0.7120839812794815,0.2077762684762962,74.07568660189602,3.427167050893102,0.000998744445752955,0.2980877575525898,1.1260802050063732,0.7864087952606379,0.7149150371567208,0.2079423303189709,73.85483091526028,3.4380447504848317,0.0009661238936728261,0.30056736690993285,1.1292627074035086,0.7895353467633622,,,,,,
JAST_arja,JAST,Omnibus Group x Time (2 df),,,,,,0.0010545472962148821,,,,,,,,0.0010098993033272143,,,,7.5265962338677745,2.0,74.42355812532392,7.5806199586485565,2.0,74.22039842220184
JAST_aija,JAST,Group difference at T1,higher = better,0.07857142857142829,0.33719391021620904,71.96846269651024,0.23301556223553452,0.8164107712636941,-0.5936173788395966,0.7507602359824532,0.07423209723422323,0.08604572871623706,0.331225881723711,71.7266604461031,0.25977960498875297,0.7957780065665299,-0.5742839912391564,0.7463754486716305,0.08129360782649687,,,,,,
JAST_aija,JAST,Group difference at T2,higher = better,1.4473352499909211,0.3452535520973452,76.10211370219851,4.192093727055532,7.385241640583213e-05,0.7597181277792566,2.1349523722025854,1.3674020310089394,1.4596963027795855,0.3394572712219198,75.9262727155617,4.300088483965072,5.0157354643255146e-05,0.7835979364365706,2.1357946691226006,1.3790804093865368,,,,,,
JAST_aija,JAST,Group difference at T3,higher = better,1.4179204586788217,0.3399907336951851,73.42110502965569,4.170467951488473,8.227217625664008e-05,0.7403853711404972,2.095455546217146,1.3396117554787046,1.4292323805898786,0.3340826478196781,73.20148082465549,4.2780802592336675,5.61995794062158e-05,0.7634374966481146,2.095027264531643,1.350298944224982,,,,,,
JAST_aija,JAST,Treatment difference in change T1->T2,higher = better,1.3687638214194928,0.33075483947647094,74.51904217198505,4.13830323264813,9.104144070353738e-05,0.7097966819394421,2.0277309608995435,1.293169933774716,1.3736505740633485,0.33092614301867446,74.37848952260316,4.1509279428124,8.719862127571913e-05,0.7143215886408371,2.03297955948586,1.2977868015600398,,,,,,
JAST_aija,JAST,Treatment difference in change T1->T3,higher = better,1.3393490301073934,0.3252575096748146,74.03820423916527,4.117811242687203,9.840463632152278e-05,0.6912648515394587,1.987433208675328,1.2653796582444814,1.3431866518736415,0.3254387827994878,73.88687980268874,4.127309721107264,9.532408770892972e-05,0.6947192259959539,1.991654077751329,1.2690053363984852,,,,,,
JAST_aija,JAST,Omnibus Group x Time (2 df),,,,,,4.4631831893661216e-05,,,,,,,,4.270290410619026e-05,,,,11.494405109862882,2.0,74.44599455833284,11.555271893336435,2.0,74.30895999776311
GARS_rr,GARS-3,Group difference at T1,lower = better,-0.6428571428571637,1.8417519253564354,53.26832958317054,-0.34904654313460326,0.7284303764907802,-4.336509352376246,3.0507950666619186,-0.09761842590853946,-0.7282083680251876,1.669465833616149,55.62491440781356,-0.4361924355455965,0.6643854291169706,-4.073048025614969,2.6166312895645936,-0.1105790849645112,,,,,,
GARS_rr,GARS-3,Group difference at T2,lower = better,-6.374733409187076,1.865289451214724,55.53073601167706,-3.417557208097482,0.0011893164261210646,-10.112054126863951,-2.637412691510201,-0.9680089082088439,-6.4674342056772804,1.6949436446371944,58.282503901109436,-3.815722266719756,0.0003307471897710462,-9.859882425074911,-3.074985986279649,-0.982085606172597,,,,,,
GARS_rr,GARS-3,Group difference at T3,lower = better,-6.854216109818541,1.8583436075547453,54.824186315910374,-3.6883470214840886,0.0005197000845614553,-10.578688385091231,-3.1297438345458506,-1.0408187805204268,-6.918868818938295,1.6872494512620029,57.42151231370936,-4.100679252711107,0.00013128111117677172,-10.296990138224103,-3.5407474996524853,-1.0506363516015267,,,,,,
GARS_rr,GARS-3,Treatment difference in change T1->T2,lower = better,-5.7318762663299125,1.2203080140076654,77.38861734549593,-4.697073362245336,1.1236759378533064e-05,-8.161625245684922,-3.3021272869749034,-0.8703904823003044,-5.739225837652093,1.2179278746503897,77.90400003061109,-4.712287120696336,1.0517338928122017e-05,-8.16398104085254,-3.3144706344516455,-0.8715065212080858,,,,,,
GARS_rr,GARS-3,Treatment difference in change T1->T3,lower = better,-6.211358966961377,1.209664365011217,77.29547956971568,-5.134778825119628,2.0547840041907635e-06,-8.619961512021074,-3.80275642190168,-0.9432003546118872,-6.190660450913107,1.207370373315598,77.79495447095702,-5.127391385224021,2.093736453855675e-06,-8.594450013498241,-3.786870888327973,-0.9400572666370155,,,,,,
GARS_rr,GARS-3,Omnibus Group x Time (2 df),,,,,,1.264966760073611e-06,,,,,,,,1.2298242512819915e-06,,,,16.278305666587244,2.0,77.14368104064127,16.29982148176836,2.0,77.61681715849977
GARS_si,GARS-3,Group difference at T1,lower = better,0.9999999999999019,2.015486133474954,46.35724384281282,0.4961582138378571,0.6221271972965148,-3.0561196537278357,5.05611965372764,0.14128358576500424,0.907186397708653,1.8293114070954573,47.21119031491226,0.4959168757106614,0.6222539203002926,-2.7724789636066975,4.586851759024004,0.1281705472255283,,,,,,
GARS_si,GARS-3,Group difference at T2,lower = better,-3.2598164977039734,2.0316609956335325,47.73658912260135,-1.6045080870824442,0.11519851253209216,-7.345327109340904,0.8256941139329572,-0.4605585637315803,-3.3553456200062914,1.8469610675404238,48.852326747292395,-1.816684541420554,0.07540306636612941,-7.0672366606026955,0.35654542059011307,-0.47405526067543674,,,,,,
GARS_si,GARS-3,Group difference at T3,lower = better,-3.5923485522978837,2.0269733210191196,47.32249818908689,-1.7722722420893662,0.08278713988187458,-7.66935946448068,0.4846623598849127,-0.5075398847864167,-3.6711609023313674,1.8417510793378515,48.34634056750848,-1.9932991724653841,0.05188791204406827,-7.373564433727351,0.03124262906461661,-0.518674776201715,,,,,,
GARS_si,GARS-3,Treatment difference in change T1->T2,lower = better,-4.259816497703875,1.0390381236739012,75.7718764375574,-4.099769200615785,0.00010291808784148259,-6.32934102998027,-2.1902919654274804,-0.6018421494965845,-4.262532017714944,1.0375282862867596,76.21480506565493,-4.108352585711417,9.937561725460826e-05,-6.328854506067685,-2.1962095293622035,-0.602225807900965,,,,,,
GARS_si,GARS-3,Treatment difference in change T1->T3,lower = better,-4.592348552297786,1.0298420584693682,75.71747848419756,-4.459274618404392,2.8092772335236033e-05,-6.643580546495244,-2.541116558100327,-0.648823470551421,-4.57834730004002,1.028374211548213,76.15189353852323,-4.452024611884557,2.8682008033805975e-05,-6.626465984197644,-2.5302286158823963,-0.6468453234272433,,,,,,
GARS_si,GARS-3,Omnibus Group x Time (2 df),,,,,,2.3345249827971513e-05,,,,,,,,2.3159106681827888e-05,,,,12.321375994524274,2.0,75.61556107747215,12.32207247123893,2.0,76.02958422020863
GARS_sc,GARS-3,Group difference at T1,lower = better,-0.8744588744588953,1.221900597059881,47.971604629574756,-0.7156546748262543,0.47767370589740044,-3.3312922544887638,1.5823745055709733,-0.20325391409716956,-0.9188770362524377,1.1582176653888683,47.8198428963068,-0.7933543613703451,0.43149041386417675,-3.2478564047289833,1.410102332224108,-0.21357820207140435,,,,,,
GARS_sc,GARS-3,Group difference at T2,lower = better,-2.8694597752244793,1.2319504277449418,49.40030740124134,-2.3292006809697385,0.02398031914773886,-5.344649506427267,-0.3942700440216913,-0.6669598167434173,-2.9158047599946784,1.1687930738139656,49.37946664978137,-2.494714270063155,0.015998291218391397,-5.264125907971279,-0.5674836120180773,-0.6777319637573584,,,,,,
GARS_sc,GARS-3,Group difference at T3,lower = better,-2.261406646905778,1.2290357503151428,48.97087958651864,-1.8399844319629597,0.07183530088502192,-4.731283606377048,0.20847031256549142,-0.525627637587159,-2.2991744500976896,1.1656774826668816,48.900909140347295,-1.97239329427343,0.0542334027771612,-4.641811126922388,0.04346222672700817,-0.5344061565659478,,,,,,
GARS_sc,GARS-3,Treatment difference in change T1->T2,lower = better,-1.995000900765584,0.6381649269092184,77.12278017576453,-3.12615252992332,0.002497313919074281,-3.2657173321451998,-0.7242844693859682,-0.4637059026462478,-1.9969277237422407,0.6378279215031317,77.27153247778213,-3.130825190336914,0.002460861472872784,-3.2669341553005484,-0.7269212921839328,-0.4641537616859541,,,,,,
GARS_sc,GARS-3,Treatment difference in change T1->T3,lower = better,-1.3869477724468826,0.6325199546803314,77.06765047642268,-2.1927336239499837,0.031343495114651995,-2.6464382686287484,-0.1274572762650168,-0.3223737234899895,-1.380297413845252,0.6321923869500319,77.2133010356053,-2.183350262258615,0.03204762712590475,-2.6390977879143103,-0.12149703977619342,-0.3208279544945435,,,,,,
GARS_sc,GARS-3,Omnibus Group x Time (2 df),,,,,,0.00786020482982851,,,,,,,,0.007821264833668441,,,,5.1642786109783,2.0,76.96491614191284,5.169335723091565,2.0,77.09843532356184
GARS_er,GARS-3,Group difference at T1,lower = better,0.5281385281386264,1.63326563530262,50.76119785827253,0.3233635219666947,0.74774838029699,-2.7511536248104465,3.807430681087699,0.09167424169623943,0.4523716463363705,1.4800406794493524,52.530407400189105,0.3056481167157344,0.7610805539852021,-2.5168336310356794,3.4215769237084204,0.07852263266784594,,,,,,
