outcome,model,quantity,term,spss,python,abs_diff,rel_diff
CJARS_ps,B_verbal_adjusted,EMM contrast estimate,group diff at T3,22.564112018385,22.564112053774025,3.538902504374164e-08,1.568376589112261e-09
CJARS_ps,B_verbal_adjusted,EMM contrast SE,group diff at T3,7.5106124319966,7.510612693689661,2.616930609988799e-07,3.484310545489193e-08
CJARS_ps,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T3,53.64326577717,53.65283592956687,0.009570152396868536,0.00017840361242401262
CJARS_ps,B_verbal_adjusted,EMM contrast p,group diff at T3,0.0040399060014704,0.0040396349588064,2.7104266400040933e-07,6.709132932839482e-05
CJARS_ps,B_verbal_adjusted,EMM contrast CI lower,group diff at T3,7.5039470176251,7.504008468522992,6.145089789200142e-05,8.18914335984342e-06
CJARS_ps,B_verbal_adjusted,EMM contrast CI upper,group diff at T3,37.624277019145,37.62421563902506,6.138011993783721e-05,1.631396661963873e-06
CJARS_sjas,A_unadjusted,EMM contrast estimate,group diff at T1,0.025638528138527,0.0256385281385271,1.0061396160665481e-16,3.924326742277466e-15
CJARS_sjas,A_unadjusted,EMM contrast SE,group diff at T1,0.35558801661067,0.3555880117023263,4.908343731457876e-09,1.3803456534453396e-08
CJARS_sjas,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T1,50.409523730981,50.41019530205693,0.0006715710759266358,1.3322305513350792e-05
CJARS_sjas,A_unadjusted,EMM contrast p,group diff at T1,0.94280622866422,0.9428062240850548,4.579165269191776e-09,4.85695271199003e-09
CJARS_sjas,A_unadjusted,EMM contrast CI lower,group diff at T1,-0.68843728860699,-0.6884370450066886,2.436003014860688e-07,3.5384530372981223e-07
CJARS_sjas,A_unadjusted,EMM contrast CI upper,group diff at T1,0.73971434488405,0.7397141012837429,2.4360030703718394e-07,3.29316727087898e-07
CJARS_sjas,A_unadjusted,EMM contrast estimate,group diff at T2,0.90722913325782,0.9072291331749068,8.291312081354363e-11,9.139159863154555e-11
CJARS_sjas,A_unadjusted,EMM contrast SE,group diff at T2,0.35958167886687,0.3595816739267362,4.9401338020338414e-09,1.3738558142343109e-08
CJARS_sjas,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T2,52.380830609455,52.38152356746888,0.0006929580138788083,1.3229229201144548e-05
CJARS_sjas,A_unadjusted,EMM contrast p,group diff at T2,0.014708816558602,0.0147087728579721,4.37006298995013e-08,2.9710500314822628e-06
CJARS_sjas,A_unadjusted,EMM contrast CI lower,group diff at T2,0.18580055429379,0.1858007896028345,2.3530904449953205e-07,1.2664604010139747e-06
CJARS_sjas,A_unadjusted,EMM contrast CI upper,group diff at T2,1.6286577122218,1.6286574767469788,2.3547482119745666e-07,1.4458214235588156e-07
